Urban,YearBuilt,TrafficLanes,ADT,YEAR_ADT,ApproachWidth_M,StructureLength_M,RoadwayWidth_M,DECK_WIDTH_M,YEAR_RECON,AADTPERCENT,DeckArea_SQM,Latitude,Longitude,PPTIN,TMAXC,TMINC,SeismicHazard,BridgeCond
0,1932,2,10,2013,6.7,59.1,13.4,14,1959,42,815.58,30.55059,-103.09531,13.7832,24.9908,8.85611,0.10142,S
0,1931,2,220,2013,6.4,12.2,13.4,14,1959,35,168.36,30.54024,-103.0251,13.9019,24.9851,8.82817,0.09557,S
0,1931,2,220,2013,6.4,12.8,6.4,14,1959,35,176.64,30.53554,-103.00499,13.9304,24.9636,8.81157,0.09406,U
0,1966,4,5390,2013,23.2,11,23.2,48,1985,40,526.9,30.56151,-103.18157,13.2584,25.1407,9.11279,0.10971,S
1,1983,2,20,2013,12.2,19.5,0,0,0,35,237.9,30.54101,-102.54318,16.2859,25.9048,10.0613,0.06023,S
0,2001,2,1580,2011,13.4,11.6,13.4,14,0,26,162.4,30.55284,-101.56366,19.9643,25.848,11.1785,0.0328,S
0,1968,2,1220,2013,11,7,12.2,13,0,35,88.2,31.07348,-102.474,16.3423,26.8679,11.0357,0.05806,U
0,1968,2,1220,2013,11,7,12.2,13,0,35,88.2,30.58538,-102.50011,16.7036,26.0061,10.3874,0.05772,S
0,1957,2,1860,2013,12.2,8.2,0,0,1984,18,100.04,31.21081,-103.01228,12.5897,27.0217,9.94006,0.08997,S
0,1962,2,240,2013,8.5,10.7,8.5,11,0,5,121.98,30.46283,-102.34142,16.5262,26.0015,10.8441,0.0513,U
0,1941,2,10,2013,10.4,8.8,10.4,11,0,50,95.92,31.08214,-104.00273,12.8301,25.2993,8.89456,0.1192,U
0,1932,2,3020,2013,12.2,12.2,12.7,15,1960,32,184.22,31.57026,-103.59491,11.4505,27.036,9.59256,0.07214,U
0,1982,4,5440,2013,23.2,13.7,0,0,0,44,317.84,30.57157,-103.25541,13.2735,25.5295,9.34522,0.11587,S
0,1974,4,4880,2013,23.2,10.1,0,0,0,44,234.32,31.02241,-103.55291,13.5007,26.6973,9.69085,0.10603,U
0,1966,2,50,2013,6.1,8.5,8.5,9,0,14,75.65,31.16344,-103.46156,12.4378,26.9668,9.88012,0.09817,S
0,1954,2,740,2013,13.4,18.3,13,14,1985,55,256.2,30.02598,-102.08396,13.2142,26.8766,12.2125,0.04646,S
0,1974,2,1110,2013,11,7.6,0,0,0,20,83.6,30.09534,-102.24278,13.5378,26.4682,11.7999,0.05269,S
0,1934,2,2710,2013,13.4,8.5,0,0,1995,12,113.9,31.11016,-102.17243,16.2383,26.5145,11.4174,0.04658,S
0,1969,2,630,2013,11.6,7.9,0,0,0,32,91.64,31.09156,-102.00116,16.4046,26.2701,11.08,0.04207,S
0,1947,2,1280,2013,6.7,11.6,7.3,8,0,11,89.32,31.29195,-103.25126,12.3876,27.0099,9.89989,0.09441,S
0,1933,2,3600,2013,12.8,8.2,15.5,16,1961,14,132.84,31.42229,-100.18173,28.6553,25.7819,11.5043,0.02703,S
0,1935,2,1820,2013,12.2,14.3,12.5,16,1957,22,223.08,32.0244,-100.14471,24.3903,25.0997,10.3822,0.031,S
0,1953,2,1270,2013,12.5,14.9,11.9,14,0,16,205.62,31.51191,-100.28244,25.5006,25.7303,11.5126,0.0278,U
0,1956,2,180,2013,7.9,6.7,8.5,11,0,10,72.36,31.4807,-100.41064,23.6353,25.6292,11.3808,0.0279,S
0,1933,2,2150,2013,13.4,16.8,13.1,14,1960,22,236.88,31.22437,-99.52368,28.9033,25.5667,11.3159,0.02551,U
0,1973,4,5040,2013,24.7,8.5,0,0,2006,19,209.95,31.12593,-99.51535,28.6302,25.6376,11.2601,0.02504,S
0,1959,2,310,2013,7.3,22.3,10.4,11,0,4,240.84,31.23312,-100.05234,28.5856,25.713,11.1965,0.02562,U
0,1976,4,7170,2013,23.2,16.2,0,0,0,44,375.84,30.41087,-101.22166,22.817,25.7333,11.0721,0.02869,S
0,1933,2,2000,2013,12.2,22.3,13,14,1974,35,307.74,30.42117,-101.13096,22.2261,25.7385,10.768,0.02794,U
0,1965,2,100,2013,9.1,9.4,0,0,0,45,85.54,30.18575,-101.05186,21.8258,26.6894,11.9441,0.02685,S
0,1965,2,640,2013,9.1,10.4,0,0,0,38,94.64,30.40102,-101.12247,22.2791,25.7928,10.8203,0.02783,S
0,1967,2,640,2013,9.1,11.6,0,0,0,38,105.56,30.36183,-101.10506,22.3095,25.8823,10.936,0.02761,S
0,1953,2,1740,2013,11,9.8,9.6,11,0,42,105.84,30.45147,-101.12144,21.9515,25.6907,10.6619,0.02793,U
0,1961,2,660,2013,11,18.6,11,12,0,51,228.78,30.53084,-101.43126,21.0913,25.5512,10.8185,0.03109,S
